,Adultsmoking,Adult obesity Value,Physical inactivity Value,Excessivedrinking,Alcohol-impaired driving deaths Value,Drug poisoning deaths Value,Mental,Poor physical health days Value,target,target2,badval,FN,FP
1501,0.186,0.276,0.207,0.221,0.368,8.34,3.5,3.3,1,Above Median Income,0,0,0
780,0.222,0.365,0.342,0.08,0.16,7.82,4,4.9,0,Below Median Income,0,0,0
1050,0.154,0.278,0.266,0.138,0.36,11.17,3.1,3.6,1,Above Median Income,0,0,0
1472,0.143,0.261,0.192,0.139,0.295,10.43,4,3.4,1,Above Median Income,0,0,0
1330,0.255,0.318,0.339,0.072,0.292,19.65,4.5,4.5,0,Below Median Income,0,0,0
719,0.116,0.236,0.17,0.15,0.268,9.47,3.5,2.7,1,Above Median Income,0,0,0
978,0.224,0.282,0.23,0.145,0.14,9.8,3.7,3.2,1,Above Median Income,0,0,0
1346,0.223,0.338,0.357,0.053,0.317,21.08,4.7,6.2,0,Below Median Income,0,0,0
1329,0.209,0.334,0.324,0.08,0.215,20.38,2.6,3.3,1,Above Median Income,0,0,0
398,0.303,0.343,0.319,0.136,0.25,14.14,5.3,4.6,0,Below Median Income,0,0,0
725,0.295,0.288,0.231,0.229,0.32,10.34,3.1,2.7,0,Below Median Income,1,0,1
1106,0.188,0.314,0.231,0.105,0.324,8.39,2.4,2.8,1,Above Median Income,0,0,0
402,0.201,0.344,0.289,0.112,0.37,13.61,4,4,0,Below Median Income,0,0,0
240,0.19,0.206,0.197,0.172,0.337,21.22,4.1,3.2,1,Above Median Income,0,0,0
910,0.241,0.339,0.291,0.175,0.291,8.61,4,4.3,1,Above Median Income,1,1,0
1516,0.153,0.271,0.173,0.173,0.295,7.08,3.1,3.4,1,Above Median Income,0,0,0
779,0.23,0.43,0.373,0.134,0.038,5.25,3.9,4.3,0,Below Median Income,0,0,0
685,0.185,0.335,0.222,0.193,0.308,10.42,3.8,3.6,1,Above Median Income,0,0,0
61,0.239,0.293,0.298,0.137,0.2,13.47,4.1,3.8,0,Below Median Income,0,0,0
964,0.212,0.266,0.224,0.129,0.316,6.64,3.7,3.3,1,Above Median Income,0,0,0
1190,0.226,0.286,0.293,0.099,0.357,16.63,3.3,3.6,1,Above Median Income,0,0,0
844,0.166,0.302,0.222,0.229,0.429,12.03,3.1,3,1,Above Median Income,0,0,0
862,0.17,0.207,0.205,0.166,0.375,12.72,3,3.8,1,Above Median Income,0,0,0
347,0.252,0.359,0.328,0.103,0.208,17.34,4.1,3.6,0,Below Median Income,0,0,0
469,0.236,0.304,0.281,0.177,0.35,10.16,3,2.9,0,Below Median Income,1,0,1
537,0.254,0.339,0.264,0.142,0.286,20.04,4.5,4.3,0,Below Median Income,0,0,0
1215,0.119,0.256,0.139,0.152,0.274,8.18,2.8,3.1,1,Above Median Income,0,0,0
1428,0.125,0.302,0.227,0.096,0,17.37,3.9,4.7,1,Above Median Income,1,1,0
1090,0.235,0.278,0.269,0.147,0.233,23.13,4.1,4.4,1,Above Median Income,1,1,0
1144,0.145,0.291,0.225,0.187,0.273,7.15,3.7,3,1,Above Median Income,0,0,0
887,0.243,0.321,0.201,0.245,0.25,11.5,3.5,4.2,1,Above Median Income,0,0,0
828,0.341,0.353,0.266,0.178,0.311,14.05,4.9,5.1,1,Above Median Income,1,1,0
90,0.214,0.31,0.336,0.109,0.4,18.09,3.6,4.5,0,Below Median Income,0,0,0
184,0.18,0.303,0.235,0.168,0.308,12.62,3.2,3.4,1,Above Median Income,0,0,0
1607,0.142,0.276,0.216,0.314,0.5,6.68,2.1,3.7,1,Above Median Income,0,0,0
356,0.254,0.343,0.266,0.168,0.373,14.5,3.9,4.4,0,Below Median Income,0,0,0
429,0.247,0.312,0.301,0.21,0.4,12.24,3.6,3.9,0,Below Median Income,1,0,1
1356,0.2,0.297,0.248,0.088,0.265,10.93,3.4,3.6,1,Above Median Income,0,0,0
718,0.2,0.325,0.254,0.196,0.348,17.21,3.3,3.7,0,Below Median Income,1,0,1
980,0.121,0.224,0.23,0.155,0.239,9.76,2.7,3.1,1,Above Median Income,0,0,0
1051,0.224,0.319,0.321,0.161,0.314,8.74,3.1,2.9,0,Below Median Income,1,0,1
824,0.203,0.339,0.252,0.138,0.182,14.1,4.7,4.1,0,Below Median Income,0,0,0
904,0.197,0.266,0.238,0.152,0.35,12.14,3.8,3.5,1,Above Median Income,0,0,0
309,0.131,0.187,0.144,0.27,0.214,10.74,2.4,2.2,1,Above Median Income,0,0,0
511,0.247,0.337,0.315,0.121,0.224,8.79,3.7,4.7,0,Below Median Income,0,0,0
1074,0.236,0.321,0.278,0.099,0.359,9.08,3.5,4,0,Below Median Income,0,0,0
767,0.234,0.345,0.33,0.123,0.185,8.4,4.4,3.9,0,Below Median Income,0,0,0
28,0.192,0.346,0.281,0.147,0.343,5.56,3.8,4,0,Below Median Income,0,0,0
1236,0.149,0.246,0.191,0.142,0.263,8.76,2.7,2.7,1,Above Median Income,0,0,0
714,0.222,0.341,0.272,0.183,0.481,8.35,3,3.4,0,Below Median Income,1,0,1
1075,0.28,0.293,0.327,0.086,0.323,29.98,4.4,4.8,0,Below Median Income,0,0,0
985,0.145,0.29,0.182,0.157,0.127,6.81,3.4,2.4,1,Above Median Income,0,0,0
23,0.183,0.3,0.241,0.178,0.261,6.01,5.2,3.7,0,Below Median Income,0,0,0
335,0.181,0.321,0.318,0.212,0.583,16.84,2.6,3.1,1,Above Median Income,0,0,0
1322,0.203,0.282,0.219,0.135,0.406,11.89,3.1,3.2,1,Above Median Income,0,0,0
838,0.163,0.3,0.259,0.218,0.414,10.37,3.4,3.5,1,Above Median Income,0,0,0
192,0.132,0.359,0.311,0.159,0.281,23.61,5,3.7,0,Below Median Income,0,0,0
610,0.181,0.298,0.215,0.179,0.452,9.32,3.9,3.7,0,Below Median Income,1,0,1
1310,0.199,0.303,0.244,0.146,0.565,13.5,3.7,3.1,1,Above Median Income,0,0,0
1166,0.246,0.37,0.352,0.095,0.288,21.46,4.3,4.2,0,Below Median Income,0,0,0
1509,0.117,0.31,0.2,0.144,0.321,6.1,2.6,4.2,1,Above Median Income,0,0,0
1185,0.264,0.375,0.388,0.069,0.282,23.75,5.5,5.8,0,Below Median Income,0,0,0
