title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Le Pont du Nord (2013 re-release)', 1 theaters, 164 days / 23.4 weeks,"b'$18,300'",The Film Desk,"March 22, 2013",b'Foreign',b'2 hrs. 9 min.',b'Unrated',b'N/A',N/A
b'Le Quattro Volte', 6 theaters, 177 days / 25.3 weeks,"b'$164,300'",Lorber Films,"March 30, 2011",b'Foreign',b'1 hrs. 28 min.',b'Unrated',b'N/A',"b'$255,391'"
b'Le Rayon Vert (Summer)', 2 theaters, 379 days / 54.1 weeks,"b'$47,700'",The Film Desk,"June 9, 2011",b'Foreign',b'1 hrs. 38 min.',b'R',b'N/A',N/A
b'Le Secret de Me Mere', 2 theaters, 220 days / 31.4 weeks,"b'$3,069,300'",Alliance,"July 7, 2006",b'Foreign',b'1 hrs. 26 min.',b'Unrated',b'N/A',N/A
b'Leap Year (2011)', 2 theaters, 91 days / 13 weeks,"b'$14,100'",Strand,"June 24, 2011",b'Foreign',b'1 hrs. 34 min.',b'Unrated',b'N/A',"b'$188,242'"
b'Leaving', 13 theaters, 84 days / 12 weeks,"b'$190,400'",IFC,"October 1, 2010",b'Foreign',b'1 hrs. 23 min.',b'Unrated',b'N/A',"b'$1,068,778'"
b'Lebanon', 23 theaters, 140 days / 20 weeks,"b'$411,500'",Sony Classics,"August 6, 2010",b'Foreign',b'1 hrs. 34 min.',b'R',b'N/A',"b'$1,198,181'"
b'Legend of the Fist:<br/>The Return of Chen Zhen', 9 theaters, 56 days / 8 weeks,"b'$54,200'",Variance Films,"April 22, 2011",b'Foreign',b'1 hrs. 45 min.',b'PG-13',b'N/A',"b'$26,567,249'"
b'Lekar Hum Deewana Dil', 50 theaters, 7 days / 1 weeks,"b'$21,700'",Eros,"July 4, 2014",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
b'Lemming', 4 theaters, 119 days / 17 weeks,"b'$108,000'",Strand,"May 19, 2006",b'Foreign',b'2 hrs. 9 min.',b'Unrated',b'N/A',"b'$793,604'"
