title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Jab Tak Hai Jaan', 164 theaters, 13 days / 1.9 weeks,"b'$3,278,500'",Yash Raj,"November 13, 2012",b'Foreign',b'2 hrs. 10 min.',b'Unrated',b'N/A',"b'$3,047,539'"
b'Jackpot', 2 theaters, 3 days / 0.4 weeks,b'$800',Doppelganger Releasing,"June 27, 2014",b'Foreign',b'1 hrs. 30 min.',b'Unrated',b'N/A',"b'$1,060,806'"
b'Jai Ho', 195 theaters, 21 days / 3 weeks,"b'$1,375,700'",Eros,"January 24, 2014",b'Foreign',b'2 hrs. 15 min.',b'Unrated',b'N/A',"b'$1,264,515'"
b'Jauja', 3 theaters, 143 days / 20.4 weeks,"b'$62,000'",Cinema Guild,"March 20, 2015",b'Foreign',b'1 hrs. 49 min.',b'Unrated',b'N/A',"b'$60,231'"
"b""Je T'aime, Je T'aime (2014 re-issue)""", 2 theaters, 363 days / 51.9 weeks,"b'$77,300'",The Film Desk,"February 14, 2014",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
b'Jealousy', 6 theaters, 59 days / 8.4 weeks,"b'$68,400'",Distrib Films,"August 15, 2014",b'Foreign',b'1 hrs. 17 min.',b'Unrated',b'N/A',N/A
b'Jean de Florette',N/A,N/A,"b'$10,943,400'",Orion Classics,"June 26, 1987",b'Foreign',b'2 hrs. 1 min.',b'PG',b'N/A',N/A
b'Jellyfish', 14 theaters, 175 days / 25 weeks,"b'$411,600'",Zeitgeist,"April 4, 2008",b'Foreign',b'1 hrs. 18 min.',b'Unrated',b'N/A',"b'$910,314'"
b'Jerichow', 3 theaters, 161 days / 23 weeks,"b'$72,800'",Cinema Guild,"May 15, 2009",b'Foreign',b'1 hrs. 33 min.',b'Unrated',b'N/A',"b'$905,600'"
b'Jesus of Montreal', 21 theaters,N/A,"b'$3,279,000'",Orion Classics,"May 25, 1990",b'Foreign',b'2 hrs. 0 min.',b'R',b'N/A',N/A
b'The Jewish Cardinal', 7 theaters,N/A,"b'$142,600'",Film Movement,"January 10, 2014",b'Foreign',b'1 hrs. 36 min.',b'Unrated',b'N/A',"b'$133,663'"
b'Jhoom Barabar Jhoom', 83 theaters, 14 days / 2 weeks,"b'$875,000'",Yash Raj,"June 15, 2007",b'Foreign',b'2 hrs. 18 min.',b'Unrated',b'N/A',"b'$11,893,289'"
b'Jiro Dreams of Sushi', 80 theaters, 168 days / 24 weeks,"b'$2,738,900'",Magnolia,"March 9, 2012",b'Foreign',b'1 hrs. 21 min.',b'PG',b'N/A',"b'$2,552,478'"
b'Jodhaa Akbar', 125 theaters, 63 days / 9 weeks,"b'$4,149,900'",UTV Communications,"February 15, 2008",b'Foreign',b'3 hrs. 42 min.',b'Unrated',b'N/A',"b'$26,890,354'"
b'Jodi Breakers', 45 theaters, 3 days / 0.4 weeks,"b'$57,500'",Yash Raj,"February 24, 2012",b'Foreign',b'2 hrs. 26 min.',b'Unrated',b'N/A',"b'$52,618'"
b'Johnny Stecchino', 18 theaters,N/A,"b'$1,306,400'",New Line,"October 9, 1992",b'Foreign',b'1 hrs. 40 min.',b'R',b'N/A',N/A
b'Joker', 74 theaters, 21 days / 3 weeks,"b'$188,300'",UTV Communications,"August 31, 2012",b'Foreign',b'3 hrs. 20 min.',b'Unrated',b'N/A',"b'$169,181'"
b'Journey of Hope', 18 theaters,N/A,"b'$538,400'",Miramax,"April 26, 1991",b'Foreign',b'1 hrs. 49 min.',b'PG',b'N/A',N/A
b'Journey to the West', 7 theaters, 35 days / 5 weeks,"b'$19,500'",Magnolia,"March 7, 2014",b'Foreign',b'1 hrs. 50 min.',b'PG-13',b'N/A',"b'$18,058'"
b'Joyeux Noel (Merry Christmas)', 53 theaters, 203 days / 29 weeks,"b'$1,394,000'",Sony Classics,"December 16, 2005",b'Foreign',b'1 hrs. 55 min.',b'PG-13',b'N/A',"b'$17,709,155'"
b'Ju Dou', 39 theaters,N/A,"b'$4,086,100'",Miramax,"March 6, 1991",b'Foreign',b'1 hrs. 35 min.',b'PG-13',b'N/A',N/A
b'Ju-On:<br/>The Grudge', 11 theaters, 140 days / 20 weeks,"b'$454,200'",Vitagraph,"July 23, 2004",b'Foreign / Horror',b'1 hrs. 30 min.',b'R',b'N/A',"b'$3,004,709'"
b'Juan of the Dead', 1 theaters, 3 days / 0.4 weeks,"b'$19,700'",Outsider Pictures,"March 16, 2012",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$18,000'"
b'Just a Sigh', 6 theaters, 101 days / 14.4 weeks,"b'$79,300'",Distrib Films,"March 21, 2014",b'Foreign',b'1 hrs. 45 min.',b'Unrated',b'N/A',"b'$1,275,531'"
b'Just Another Love Story', 3 theaters, 112 days / 16 weeks,"b'$55,300'",Koch Lorber Films,"January 9, 2009",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$2,460,360'"
b'Kaal', 40 theaters, 21 days / 3 weeks,"b'$466,200'",Eros,"April 29, 2005",b'Foreign',b'2 hrs. 5 min.',b'PG-13',b'N/A',N/A
b'Kaante', 29 theaters, 32 days / 4.6 weeks,"b'$1,528,100'",Media Partners,"December 20, 2002",b'Foreign',b'2 hrs. 30 min.',b'Unrated',b'N/A',"b'$5,753,991'"
b'Kabei', 1 theaters, 70 days / 10 weeks,"b'$17,400'",Strand,"May 8, 2009",b'Foreign',b'2 hrs. 13 min.',b'Unrated',b'N/A',N/A
b'Kabhi Alvida Naa Kehna', 64 theaters, 49 days / 7 weeks,"b'$4,330,600'",Yash Raj,"August 11, 2006",b'Foreign',b'3 hrs. 13 min.',b'Unrated',b'N/A',"b'$25,229,168'"
b'Kabhi Khushi Kabhie Gham', 44 theaters, 31 days / 4.4 weeks,"b'$4,325,500'",Yash Raj,"December 14, 2001",b'Foreign',b'3 hrs. 30 min.',b'Unrated',b'$7.5 million',"b'$11,329,690'"
b'Kabul Express', 50 theaters, 28 days / 4 weeks,"b'$396,900'",Yash Raj,"December 15, 2006",b'Foreign',b'1 hrs. 44 min.',b'Unrated',b'N/A',"b'$5,091,289'"
b'Kadosh', 16 theaters,N/A,"b'$1,183,800'",Kino,"February 18, 2000",b'Foreign',b'1 hrs. 57 min.',b'Unrated',b'N/A',"b'$736,812'"
b'Kagemusha',N/A,N/A,"b'$12,877,300'",Fox,"October 10, 1980",b'Foreign',b'2 hrs. 42 min.',b'PG',b'$6 million',N/A
b'Kai Po Che', 110 theaters, 66 days / 9.4 weeks,"b'$1,223,600'",UTV Communications,"February 22, 2013",b'Foreign',b'2 hrs. 0 min.',b'Unrated',b'N/A',"b'$1,122,527'"
b'Kal Ho Naa Ho', 52 theaters, 79 days / 11.3 weeks,"b'$2,853,900'",Yash Raj,"November 26, 2003",b'Foreign',b'3 hrs. 6 min.',b'Unrated',b'N/A',"b'$13,200,241'"
b'Kal Kissne Dekha', 18 theaters, 14 days / 2 weeks,"b'$29,700'",AdLabs,"June 12, 2009",b'Foreign',b'2 hrs. 13 min.',b'Unrated',b'N/A',"b'$54,048'"
b'Kalakalappu@Masala Cafe', 10 theaters, 10 days / 1.4 weeks,"b'$33,800'",UTV Communications,"May 11, 2012",b'Foreign',b'2 hrs. 15 min.',b'Unrated',b'N/A',"b'$30,949'"
b'Kalyug', 5 theaters, 7 days / 1 weeks,"b'$1,900'","Kria, Inc.","December 9, 2005",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
b'Kambakkht Ishq', 100 theaters, 28 days / 4 weeks,"b'$1,743,800'",Eros,"July 3, 2009",b'Foreign',b'2 hrs. 20 min.',b'Unrated',b'N/A',"b'$2,998,940'"
b'Kamikaze Girls', 3 theaters, 91 days / 13 weeks,"b'$46,500'",Viz Media,"September 9, 2005",b'Foreign',b'1 hrs. 42 min.',b'Unrated',b'N/A',"b'$5,186,033'"
b'Kaminey', 85 theaters, 28 days / 4 weeks,"b'$1,499,600'",UTV Communications,"August 14, 2009",b'Foreign',b'2 hrs. 15 min.',b'Unrated',b'N/A',"b'$1,868,980'"
b'Katyn', 2 theaters, 107 days / 15.3 weeks,"b'$142,400'",Koch Lorber Films,"February 18, 2009",b'Foreign',b'2 hrs. 1 min.',b'Unrated',b'N/A',"b'$14,723,313'"
b'Khadak', 1 theaters, 7 days / 1 weeks,"b'$3,900'",Lifesize,"October 12, 2007",b'Foreign',b'1 hrs. 44 min.',b'Unrated',b'N/A',"b'$37,781'"
b'Khatta Meetha', 83 theaters, 17 days / 2.4 weeks,"b'$590,300'",Eros,"July 23, 2010",b'Foreign',b'2 hrs. 35 min.',b'Unrated',b'N/A',"b'$1,040,814'"
b'Khiladi 786', 115 theaters, 14 days / 2 weeks,"b'$408,200'",Eros,"December 7, 2012",b'Foreign',b'2 hrs. 21 min.',b'Unrated',b'N/A',"b'$379,466'"
b'Khodorkovsky', 2 theaters, 128 days / 18.3 weeks,"b'$43,500'",Kino Lorber,"November 30, 2011",b'Foreign',b'1 hrs. 51 min.',b'Unrated',b'N/A',"b'$39,522'"
b'Khoobsurat', 61 theaters, 17 days / 2.4 weeks,"b'$754,100'",UTV Communications,"September 19, 2014",b'Foreign',b'2 hrs. 10 min.',b'Unrated',b'N/A',"b'$710,508'"
b'Khosla Ka Ghosla', 10 theaters, 21 days / 3 weeks,"b'$35,000'",UTV Communications,"September 22, 2006",b'Foreign',b'2 hrs. 10 min.',b'Unrated',b'N/A',"b'$40,194'"
b'Kick', 180 theaters, 28 days / 4 weeks,"b'$2,570,700'",UTV Communications,"July 25, 2014",b'Foreign',b'2 hrs. 30 min.',b'Unrated',b'N/A',"b'$2,472,695'"
b'Kid With a Bike', 86 theaters,N/A,"b'$1,573,500'",IFC,"March 16, 2012",b'Foreign',b'1 hrs. 27 min.',b'PG-13',b'N/A',"b'$2,504,775'"
b'Kidnap',N/A,N/A,N/A,Studio 18,"October 2, 2008",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$7,601,003'"
b'Kika',N/A,N/A,"b'$4,184,100'",October,"May 6, 1994",b'Foreign',b'1 hrs. 54 min.',b'Unrated',b'N/A',N/A
b'Kikujiro', 4 theaters,N/A,"b'$322,800'",Sony Classics,"May 26, 2000",b'Foreign',b'2 hrs. 1 min.',b'PG-13',b'N/A',N/A
"b""King of Devil's Island""", 2 theaters, 70 days / 10 weeks,"b'$8,300'",Film Movement,"November 18, 2011",b'Foreign',b'2 hrs. 0 min.',b'Unrated',b'N/A',"b'$4,179,605'"
b'The King of Masks', 23 theaters,N/A,"b'$1,897,500'",Samuel Goldwyn,"May 14, 1999",b'Foreign',b'1 hrs. 41 min.',b'Unrated',b'N/A',N/A
b'Kings and Queen', 9 theaters, 210 days / 30 weeks,"b'$393,100'",Wellspring,"May 13, 2005",b'Foreign',b'2 hrs. 30 min.',b'Unrated',b'N/A',"b'$542,178'"
b'Kismat Konnection', 62 theaters, 21 days / 3 weeks,"b'$591,200'",UTV Communications,"July 18, 2008",b'Foreign',b'2 hrs. 31 min.',b'Unrated',b'N/A',"b'$11,019,454'"
b'Kisna', 68 theaters, 3 days / 0.4 weeks,"b'$198,600'",Eros,"January 21, 2005",b'Foreign',b'2 hrs. 50 min.',b'Unrated',b'N/A',N/A
b'Klown', 16 theaters, 56 days / 8 weeks,"b'$73,400'",Drafthouse,"July 27, 2012",b'Foreign',b'1 hrs. 29 min.',b'R',b'N/A',"b'$12,443,800'"
"b""Knockin' on Heaven's Door""", 2 theaters, 10 days / 1.4 weeks,"b'$9,400'",Phaedra,"August 20, 1999",b'Foreign',b'1 hrs. 27 min.',b'Unrated',b'N/A',N/A
b'Kochadaiiyaan', 161 theaters, 14 days / 2 weeks,"b'$849,600'",Eros,"May 23, 2014",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',"b'$817,192'"
b'Kolya', 128 theaters,N/A,"b'$10,886,800'",Miramax,"January 17, 1997",b'Foreign',b'1 hrs. 45 min.',b'PG-13',b'N/A',N/A
b'Kon-Tiki', 75 theaters, 105 days / 15 weeks,"b'$1,568,100'",Weinstein Company,"April 26, 2013",b'Foreign',b'1 hrs. 41 min.',b'PG-13',b'N/A',"b'$22,842,887'"
b'Kontroll', 6 theaters, 154 days / 22 weeks,"b'$320,400'",ThinkFilm,"April 1, 2005",b'Foreign',b'1 hrs. 46 min.',b'R',b'N/A',"b'$1,277,800'"
b'Korkoro', 2 theaters, 105 days / 15 weeks,"b'$8,900'",Lorber Films,"March 25, 2011",b'Foreign',b'1 hrs. 51 min.',b'Unrated',b'N/A',"b'$627,088'"
b'Krazzy 4', 59 theaters, 17 days / 2.4 weeks,"b'$587,600'",Eros,"April 11, 2008",b'Foreign',b'1 hrs. 55 min.',b'Unrated',b'N/A',"b'$7,274,081'"
b'Krrish', 59 theaters, 7 days / 1 weeks,"b'$1,891,600'",AdLabs,"June 30, 2006",b'Foreign',b'2 hrs. 34 min.',b'Unrated',b'$10.2 million',"b'$18,039,685'"
b'Krrish 3', 208 theaters, 35 days / 5 weeks,"b'$2,420,800'",Eros,"November 1, 2013",b'Foreign / Action',b'2 hrs. 30 min.',b'Unrated',b'N/A',"b'$2,191,534'"
b'Kuch Khatti Kuch Meethi', 23 theaters, 3 days / 0.4 weeks,"b'$87,500'",Eros,"January 19, 2001",b'Foreign',b'2 hrs. 0 min.',b'Unrated',b'N/A',N/A
b'Kundo:<br/>Age of the Rampant', 28 theaters, 28 days / 4 weeks,"b'$301,100'",Well Go USA,"August 29, 2014",b'Foreign',b'2 hrs. 15 min.',b'Unrated',b'N/A',N/A
b'Kung Fu Hustle'," 2,503 theaters", 133 days / 19 weeks,"b'$23,114,000'",Sony Classics,"April 8, 2005",b'Foreign / Action',b'1 hrs. 35 min.',b'R',b'$20 million',"b'$100,914,445'"
b'Kung Fu Killer', 28 theaters, 42 days / 6 weeks,"b'$130,600'",Well Go USA,"April 24, 2015",b'Foreign / Action',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$10,131,784'"
b'Kurbaan', 83 theaters,N/A,"b'$858,300'",UTV Communications,"November 20, 2009",b'Foreign',b'2 hrs. 32 min.',b'Unrated',b'N/A',"b'$1,461,611'"
b'Kyon? Ho Gaya Pyu', 51 theaters, 10 days / 1.4 weeks,"b'$469,800'",Eros,"August 13, 2004",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
