title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Volere Volare', 10 theaters,N/A,"b'$163,500'",Fine Line,"February 3, 1993",b'Foreign',b'1 hrs. 32 min.',b'R',b'N/A',N/A
b'Volver', 689 theaters, 203 days / 29 weeks,"b'$16,499,400'",Sony Classics,"November 3, 2006",b'Foreign',b'1 hrs. 51 min.',b'R',b'N/A',"b'$85,585,177'"
b'Vulgaria', 16 theaters, 21 days / 3 weeks,"b'$63,500'",China Lion,"September 28, 2012",b'Foreign',b'1 hrs. 32 min.',b'Unrated',b'N/A',"b'$59,059'"
b'Wadjda (U.S. only)', 87 theaters, 140 days / 20 weeks,"b'$1,410,300'",Sony Classics,"September 13, 2013",b'Foreign',b'1 hrs. 38 min.',b'PG',b'N/A',"b'$1,347,747'"
b'Waiting for Happiness', 1 theaters, 27 days / 3.9 weeks,"b'$10,600'",New Yorker,"April 5, 2003",b'Foreign',b'1 hrs. 35 min.',b'Unrated',b'N/A',N/A
b'Wake Up Sid', 79 theaters, 35 days / 5 weeks,"b'$866,900'",UTV Communications,"October 2, 2009",b'Foreign',b'2 hrs. 18 min.',b'Unrated',b'N/A',"b'$4,278,081'"
b'Walk on Water', 47 theaters, 189 days / 27 weeks,"b'$3,666,500'",IDP,"March 4, 2005",b'Foreign',b'1 hrs. 44 min.',b'R',b'N/A',"b'$4,444,265'"
b'The Wall (2013)', 4 theaters, 119 days / 17 weeks,"b'$41,600'",Music Box Films,"May 31, 2013",b'Foreign',b'1 hrs. 48 min.',b'Unrated',b'N/A',"b'$1,156,765'"
b'Waltz with Bashir', 208 theaters, 141 days / 20.1 weeks,"b'$2,651,400'",Sony Classics,"December 25, 2008",b'Foreign',b'1 hrs. 30 min.',b'R',b'N/A',"b'$11,125,849'"
b'Wanted (2009)', 71 theaters, 14 days / 2 weeks,"b'$404,200'",Eros,"September 18, 2009",b'Foreign',b'2 hrs. 0 min.',b'Unrated',b'N/A',"b'$404,099'"
b'Waqt - The Race Against Time', 52 theaters, 28 days / 4 weeks,"b'$1,101,200'",Eros,"April 22, 2005",b'Foreign',b'2 hrs. 33 min.',b'Unrated',b'N/A',N/A
b'War of the Arrows', 16 theaters, 42 days / 6 weeks,"b'$274,000'",CJ Entertainment,"September 30, 2011",b'Foreign',b'2 hrs. 2 min.',b'R',b'N/A',"b'$46,078,499'"
b'War of the Buttons (2012)', 35 theaters, 28 days / 4 weeks,"b'$53,200'",Weinstein Company,"October 12, 2012",b'Foreign',b'N/A',b'PG-13',b'N/A',"b'$13,876,251'"
b'War Witch', 16 theaters, 77 days / 11 weeks,"b'$75,400'",Tribeca Film,"March 1, 2013",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$70,544'"
b'Warlords', 12 theaters, 49 days / 7 weeks,"b'$140,600'",Magnolia,"April 2, 2010",b'Foreign / Action',b'N/A',b'R',b'N/A',N/A
b'The Warring States', 23 theaters, 21 days / 3 weeks,"b'$74,100'",China Lion,"April 22, 2011",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$11,868,961'"
b'The Warrior', 5 theaters, 28 days / 4 weeks,"b'$67,900'",Miramax,"July 15, 2005",b'Foreign',b'1 hrs. 26 min.',b'R',b'N/A',"b'$336,637'"
