title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Rowdy Rathore', 120 theaters, 35 days / 5 weeks,"b'$829,100'",UTV Communications,"June 1, 2012",b'Foreign',b'2 hrs. 10 min.',b'Unrated',b'N/A',"b'$29,342,463'"
b'A Royal Affair', 56 theaters, 175 days / 25 weeks,"b'$1,674,400'",Magnolia,"November 9, 2012",b'Foreign',b'2 hrs. 12 min.',b'R',b'N/A',"b'$7,594,693'"
b'RRRrrrr!!!', 23 theaters, 3 days / 0.4 weeks,"b'$75,800'",Christal Films,"July 30, 2004",b'Foreign',b'1 hrs. 34 min.',b'Unrated',b'N/A',"b'$13,315,054'"
b'Rudo Y Cursi', 219 theaters, 112 days / 16 weeks,"b'$2,121,600'",Sony Classics,"May 8, 2009",b'Foreign',b'1 hrs. 30 min.',b'R',b'N/A',"b'$11,169,232'"
b'The Rules of the Game (re-issue)', 5 theaters, 168 days / 24 weeks,"b'$344,600'",Janus Films,"October 27, 2006",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',N/A
b'Run Lola Run', 172 theaters,N/A,"b'$12,389,200'",Sony Classics,"June 18, 1999",b'Foreign',b'1 hrs. 21 min.',b'R',b'N/A',N/A
b'Running Man (2015)', 21 theaters, 35 days / 5 weeks,"b'$331,700'",China Lion,"January 30, 2015",b'Foreign',b'1 hrs. 28 min.',b'Unrated',b'N/A',"b'$310,978'"
b'Russian Ark', 22 theaters,N/A,"b'$3,347,100'",Wellspring,"December 13, 2002",b'Foreign',b'1 hrs. 36 min.',b'Unrated',b'N/A',"b'$6,723,732'"
b'Russian Ark (2013 re-release)', 2 theaters, 77 days / 11 weeks,"b'$40,700'",Kino Lorber,"September 6, 2013",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
b'Russian Dolls', 11 theaters, 107 days / 15.3 weeks,"b'$431,200'",IFC,"May 10, 2006",b'Foreign',b'2 hrs. 9 min.',b'Unrated',b'N/A',"b'$23,727,301'"
b'Rust and Bone', 168 theaters, 133 days / 19 weeks,"b'$2,241,900'",Sony Classics,"November 23, 2012",b'Foreign',b'2 hrs. 0 min.',b'R',b'N/A',"b'$25,762,027'"
b'Saawariya', 85 theaters, 21 days / 3 weeks,"b'$1,114,700'",Sony / Columbia,"November 9, 2007",b'Foreign',b'2 hrs. 22 min.',b'PG',b'N/A',"b'$18,513,120'"
b'Sacrifice', 11 theaters, 14 days / 2 weeks,"b'$33,200'",Samuel Goldwyn,"July 27, 2012",b'Foreign',b'2 hrs. 2 min.',b'R',b'N/A',N/A
b'Sade', 2 theaters, 112 days / 16 weeks,"b'$149,900'",Empire,"April 26, 2002",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',N/A
b'Saheb Biwi Aur Gangster', 9 theaters, 14 days / 2 weeks,"b'$15,500'",UTV Communications,"September 30, 2011",b'Foreign',b'2 hrs. 0 min.',b'Unrated',b'N/A',N/A
b'Saint Laurent', 59 theaters, 84 days / 12 weeks,"b'$438,800'",Sony Classics,"May 8, 2015",b'Foreign',b'2 hrs. 30 min.',b'R',b'N/A',"b'$429,477'"
b'Salaam Bombay!', 27 theaters,N/A,"b'$4,382,800'",Cinecom,"October 7, 1988",b'Foreign',b'1 hrs. 53 min.',b'Unrated',b'N/A',N/A
b'Salaam Namaste', 63 theaters, 56 days / 8 weeks,"b'$1,909,300'",Yash Raj,"September 9, 2005",b'Foreign',b'2 hrs. 40 min.',b'Unrated',b'N/A',"b'$9,289,939'"
b'Salaam-E-Ishq', 86 theaters, 22 days / 3.1 weeks,"b'$2,331,200'",Eros,"January 25, 2007",b'Foreign',b'3 hrs. 20 min.',b'Unrated',b'N/A',"b'$12,552,605'"
b'The Salt of Life', 19 theaters, 168 days / 24 weeks,"b'$342,100'",Zeitgeist,"March 2, 2012",b'Foreign',b'1 hrs. 30 min.',b'Unrated',b'N/A',"b'$1,492,653'"
b'Salt of this Sea', 2 theaters, 70 days / 10 weeks,"b'$13,100'",Lorber Films,"August 13, 2010",b'Foreign',b'1 hrs. 44 min.',b'Unrated',b'N/A',"b'$556,913'"
"b""Salut D'Amour""", 1 theaters, 17 days / 2.4 weeks,"b'$22,600'",CJ Entertainment,"April 10, 2015",b'Foreign',b'1 hrs. 52 min.',b'Unrated',b'N/A',"b'$22,480'"
b'Salvation Army', 1 theaters, 14 days / 2 weeks,"b'$4,200'",Strand,"January 23, 2015",b'Foreign',b'1 hrs. 21 min.',b'Unrated',b'N/A',N/A
b'Samba', 27 theaters, 35 days / 5 weeks,"b'$159,100'",Broad Green Pictures,"July 24, 2015",b'Foreign',b'1 hrs. 58 min.',b'R',b'N/A',"b'$151,530'"
b'Saraband', 27 theaters, 119 days / 17 weeks,"b'$872,300'",Sony Classics,"July 8, 2005",b'Foreign',b'1 hrs. 47 min.',b'R',b'N/A',"b'$975,181'"
"b""Sarah's Key""", 319 theaters, 140 days / 20 weeks,"b'$8,406,600'",Weinstein Company,"July 22, 2011",b'Foreign',b'1 hrs. 51 min.',b'PG-13',b'N/A',"b'$21,118,093'"
