title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Agent Vinod', 122 theaters, 24 days / 3.4 weeks,"b'$763,400'",Eros,"March 23, 2012",b'Foreign / Action',b'2 hrs. 37 min.',b'Unrated',b'N/A',"b'$698,210'"
b'Agneepath', 132 theaters, 29 days / 4.1 weeks,"b'$2,197,300'",Eros,"January 26, 2012",b'Foreign',b'2 hrs. 48 min.',b'Unrated',b'N/A',"b'$1,986,748'"
b'Agnes and His Brothers', 1 theaters, 28 days / 4 weeks,"b'$3,600'",First Run,"June 9, 2006",b'Foreign',b'1 hrs. 55 min.',b'Unrated',b'N/A',N/A
b'Aimee &amp; Jaguar', 16 theaters,N/A,"b'$1,489,600'",Zeitgeist,"August 11, 2000",b'Foreign',b'2 hrs. 5 min.',b'Unrated',b'N/A',N/A
b'Aitraaz', 24 theaters, 10 days / 1.4 weeks,"b'$128,300'",Zee TV,"November 12, 2004",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
"b""Akira Kurosawa's Dreams""",N/A,N/A,"b'$4,019,200'",Warner Bros.,"August 24, 1990",b'Foreign',b'2 hrs. 0 min.',b'PG',b'N/A',N/A
b'Alexandra', 4 theaters, 254 days / 36.3 weeks,"b'$154,700'",Cinema Guild,"March 26, 2008",b'Foreign',b'1 hrs. 35 min.',b'Unrated',b'N/A',"b'$454,014'"
"b""Alice's House (A Casa de Alice)""", 6 theaters, 98 days / 14 weeks,"b'$74,600'",Vitagraph,"January 25, 2008",b'Foreign',b'1 hrs. 32 min.',b'Unrated',b'N/A',"b'$193,531'"
b'Aliyah', 2 theaters, 31 days / 4.4 weeks,"b'$8,600'",Film Movement,"June 14, 2013",b'Foreign',b'1 hrs. 30 min.',b'Unrated',b'N/A',N/A
b'All About My Mother', 145 theaters,N/A,"b'$13,455,000'",Sony Classics,"November 5, 1999",b'Foreign',b'1 hrs. 41 min.',b'R',b'N/A',"b'$67,872,296'"
b'All the Best', 55 theaters, 7 days / 1 weeks,"b'$145,600'",Yash Raj,"October 16, 2009",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$149,807'"
b'All Things Fair', 1 theaters,N/A,"b'$25,700'",PFM,"March 8, 1996",b'Foreign',b'2 hrs. 5 min.',b'Unrated',b'N/A',N/A
b'All Together', 10 theaters, 150 days / 21.4 weeks,"b'$46,400'",Kino Lorber,"October 19, 2012",b'Foreign',b'1 hrs. 36 min.',b'Unrated',b'N/A',"b'$7,211,180'"
"b""All's Well, End's Well (2012)""", 20 theaters, 21 days / 3 weeks,"b'$52,400'",China Lion,"January 27, 2012",b'Foreign',b'1 hrs. 55 min.',b'Unrated',b'N/A',"b'$47,919'"
b'Allegro', 1 theaters, 93 days / 13.3 weeks,"b'$9,300'",International Film Circuit,"May 9, 2007",b'Foreign',b'1 hrs. 28 min.',b'Unrated',b'N/A',"b'$7,404'"
b'Almost Peaceful', 3 theaters, 217 days / 31 weeks,"b'$146,900'",Empire,"August 20, 2004",b'Foreign',b'1 hrs. 34 min.',b'Unrated',b'N/A',N/A
b'Alphaville (2013 re-release)', 2 theaters, 119 days / 17 weeks,"b'$50,800'",Rialto,"February 7, 2014",b'Foreign',b'1 hrs. 39 min.',b'Unrated',b'N/A',N/A
b'Alps', 3 theaters, 161 days / 23 weeks,"b'$17,800'",Kino Lorber,"July 13, 2012",b'Foreign',b'1 hrs. 33 min.',b'Unrated',b'N/A',"b'$16,057'"
b'Always Kabhi Kabhi', 29 theaters, 14 days / 2 weeks,"b'$23,000'",Eros,"June 17, 2011",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$21,381'"
b'The Amazing Catfish', 3 theaters, 35 days / 5 weeks,"b'$11,800'",Strand,"June 13, 2014",b'Foreign',b'1 hrs. 29 min.',b'Unrated',b'N/A',"b'$11,342'"
b'An Amazing Couple:<br/>Trilogy 2', 2 theaters, 161 days / 23 weeks,"b'$66,700'",Magnolia,"February 6, 2004",b'Foreign',b'1 hrs. 40 min.',b'PG',b'N/A',N/A
b'The Amazing Truth About Queen Raquela', 2 theaters, 63 days / 9 weeks,"b'$6,700'",Regent Releasing,"September 26, 2008",b'Foreign',b'1 hrs. 25 min.',b'R',b'N/A',"b'$7,328'"
b'Amelie', 303 theaters, 245 days / 35 weeks,"b'$50,101,000'",Miramax,"November 2, 2001",b'Foreign',b'2 hrs. 2 min.',b'R',b'$10 million',"b'$173,921,954'"
b'Amores Perros', 187 theaters,N/A,"b'$8,275,100'",Lions Gate,"March 30, 2001",b'Foreign',b'2 hrs. 33 min.',b'R',b'N/A',"b'$20,908,467'"
b'Amour', 333 theaters, 149 days / 21.3 weeks,"b'$7,341,500'",Sony Classics,"December 19, 2012",b'Foreign',b'2 hrs. 5 min.',b'PG-13',b'$8.9 million',"b'$19,839,492'"
b'Amour Fou', 3 theaters, 79 days / 11.3 weeks,"b'$14,400'",Film Movement,"March 18, 2015",b'Foreign',b'1 hrs. 36 min.',b'Unrated',b'N/A',"b'$13,702'"
b'Anatomy', 8 theaters,N/A,"b'$15,500'",Sony / Columbia,"September 8, 2000",b'Foreign',b'1 hrs. 43 min.',b'R',b'N/A',"b'$10,501,958'"
b'Anatomy 2', 1 theaters, 7 days / 1 weeks,b'$900',Strand,"August 13, 2004",b'Foreign',b'1 hrs. 41 min.',b'R',b'N/A',b'$623'
b'Anatomy of Hell', 3 theaters, 112 days / 16 weeks,"b'$48,000'",Tartan,"September 24, 2004",b'Foreign',b'1 hrs. 20 min.',b'Unrated',b'N/A',"b'$34,506'"
b'Angel-A', 18 theaters, 133 days / 19 weeks,"b'$255,100'",Sony Classics,"May 25, 2007",b'Foreign',b'1 hrs. 31 min.',b'R',b'N/A',"b'$9,995,168'"
b'Anjaana Anjaani', 91 theaters,N/A,"b'$924,100'",Eros,"October 1, 2010",b'Foreign',b'2 hrs. 35 min.',b'Unrated',b'N/A',"b'$1,615,888'"
b'Antarctica', 2 theaters, 147 days / 21 weeks,"b'$26,100'",Regent Releasing,"August 29, 2008",b'Foreign',b'1 hrs. 50 min.',b'R',b'N/A',"b'$21,679'"
b'Anthony Kaun Hai', 18 theaters, 7 days / 1 weeks,"b'$73,300'",AdLabs,"August 4, 2006",b'Foreign',b'2 hrs. 7 min.',b'Unrated',b'N/A',N/A
b'Antoine and Antoinette (2013 re-issue)', 1 theaters, 30 days / 4.3 weeks,"b'$10,200'",Rialto,"September 25, 2013",b'Foreign',b'1 hrs. 24 min.',b'Unrated',b'N/A',N/A
b'Antonia', 2 theaters, 7 days / 1 weeks,"b'$4,500'",Reel Diva Consultants,"September 21, 2007",b'Foreign',b'1 hrs. 29 min.',b'PG-13',b'N/A',N/A
"b""Antonia's Line""", 73 theaters,N/A,"b'$8,284,400'",First Look,"February 2, 1996",b'Foreign',b'1 hrs. 42 min.',b'R',b'N/A',"b'$4,249,321'"
b'Anything For Alice', 1 theaters, 5 days / 0.7 weeks,"b'$1,100'",Rialto,"December 17, 2014",b'Foreign',b'1 hrs. 39 min.',b'Unrated',b'N/A',N/A
b'Apaharan', 17 theaters, 14 days / 2 weeks,"b'$59,600'","Kria, Inc.","December 2, 2005",b'Foreign',b'2 hrs. 53 min.',b'Unrated',b'N/A',N/A
b'Apres Vous', 42 theaters, 168 days / 24 weeks,"b'$1,121,700'",Paramount Classics,"June 3, 2005",b'Foreign',b'1 hrs. 50 min.',b'R',b'N/A',"b'$8,105,013'"
b'Arabian Nights:<br/>Volume 3 - The Enchanted One', 3 theaters, 84 days / 12 weeks,"b'$4,500'",Kino Lorber,"December 18, 2015",b'Foreign',b'2 hrs. 5 min.',b'Unrated',b'N/A',"b'$4,502'"
b'Armadillo', 1 theaters, 49 days / 7 weeks,"b'$15,700'",Lorber Films,"April 15, 2011",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$2,011,336'"
b'Army of Crime', 3 theaters, 119 days / 17 weeks,"b'$41,200'",Lorber Films,"August 20, 2010",b'Foreign',b'2 hrs. 19 min.',b'Unrated',b'N/A',"b'$1,199,877'"
b'Army of Shadows (1969)', 8 theaters, 364 days / 52 weeks,"b'$974,500'",Rialto,"April 28, 2006",b'Foreign',b'2 hrs. 16 min.',b'Unrated',b'N/A',"b'$810,532'"
b'The Artist and the Model', 11 theaters,N/A,"b'$141,300'",Cohen Media Group,"August 2, 2013",b'Foreign',b'1 hrs. 45 min.',b'R',b'N/A',N/A
b'As Tears Go By', 1 theaters, 14 days / 2 weeks,"b'$11,400'",Kino,"May 2, 2008",b'Foreign',b'1 hrs. 42 min.',b'Unrated',b'N/A',N/A
b'Asambhav', 15 theaters, 7 days / 1 weeks,"b'$27,200'",Eros,"July 23, 2004",b'Foreign',b'2 hrs. 19 min.',b'Unrated',b'N/A',N/A
b'Ashes of Time Redux', 18 theaters, 91 days / 13 weeks,"b'$210,200'",Sony Classics,"October 10, 2008",b'Foreign / Action',b'1 hrs. 33 min.',b'R',b'N/A',"b'$1,912,490'"
b'Asoka', 66 theaters,N/A,"b'$1,118,900'",First Look,"October 26, 2001",b'Foreign',b'2 hrs. 30 min.',b'R',b'N/A',N/A
b'The Assault', 25 theaters,N/A,"b'$1,134,900'",Cannon Films,"September 19, 1986",b'Foreign',b'2 hrs. 24 min.',b'PG',b'N/A',N/A
b'Asterix et Obelix Contre Cesar', 73 theaters,N/A,"b'$2,802,700'",Lions Gate,"June 4, 1999",b'Foreign',b'1 hrs. 45 min.',b'Unrated',b'N/A',"b'$1,644,060'"
b'Asterix et Obelix:<br/>Mission Cleopatra',N/A,N/A,"b'$4,643,300'",Lions Gate,"June 7, 2002",b'Foreign',b'1 hrs. 47 min.',b'Unrated',b'N/A',"b'$111,127,553'"
b'The Attack', 55 theaters, 105 days / 15 weeks,"b'$1,896,400'",Cohen Media Group,"June 21, 2013",b'Foreign',b'1 hrs. 42 min.',b'R',b'N/A',N/A
b'The Attacks of 26/11', 51 theaters, 24 days / 3.4 weeks,"b'$270,900'",Eros,"March 1, 2013",b'Foreign',b'1 hrs. 56 min.',b'Unrated',b'N/A',N/A
b'Attenberg', 2 theaters, 112 days / 16 weeks,"b'$25,900'",Strand,"March 9, 2012",b'Foreign',b'1 hrs. 37 min.',b'Unrated',b'N/A',"b'$69,961'"
b'The Attorney', 27 theaters, 24 days / 3.4 weeks,"b'$606,200'",Well Go USA,"February 7, 2014",b'Foreign',b'2 hrs. 7 min.',b'Unrated',b'N/A',"b'$70,567,539'"
"b'Au Revoir, Les Enfants'",N/A,N/A,"b'$9,572,000'",Orion Classics,"February 12, 1988",b'Foreign',b'1 hrs. 41 min.',b'PG',b'N/A',N/A
b'Audition',N/A,N/A,"b'$200,900'",Vitagraph,"August 8, 2001",b'Foreign / Horror',b'1 hrs. 55 min.',b'R',b'N/A',"b'$131,296'"
b'Augustine', 10 theaters, 126 days / 18 weeks,"b'$114,300'",Music Box Films,"May 17, 2013",b'Foreign',b'1 hrs. 41 min.',b'Unrated',b'N/A',N/A
b'The Aura', 4 theaters, 114 days / 16.3 weeks,"b'$76,600'",IFC,"November 15, 2006",b'Foreign',b'2 hrs. 18 min.',b'Unrated',b'N/A',"b'$1,785,981'"
b'Aurora', 1 theaters, 79 days / 11.3 weeks,"b'$6,200'",Cinema Guild,"June 29, 2011",b'Foreign',b'3 hrs. 1 min.',b'Unrated',b'N/A',"b'$10,775'"
b'The Autobiography of Nicolae Ceausescu', 3 theaters, 175 days / 25 weeks,"b'$37,300'",The Film Desk,"September 9, 2011",b'Foreign',b'3 hrs. 0 min.',b'Unrated',b'N/A',N/A
b'Autumn', 3 theaters, 21 days / 3 weeks,"b'$16,700'",Truly Indie,"June 9, 2006",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',N/A
b'Autumn Tale', 53 theaters,N/A,"b'$3,759,500'",October,"July 9, 1999",b'Foreign',b'1 hrs. 10 min.',b'PG',b'N/A',N/A
b'Avenue Montaigne', 52 theaters, 161 days / 23 weeks,"b'$2,573,900'",ThinkFilm,"February 16, 2007",b'Foreign',b'1 hrs. 46 min.',b'PG-13',b'N/A',"b'$17,574,836'"
